Company_Name,City,Product_Requirement,Est_Consumption_Kg,Status
"Randhawa, Mand and Saha Refineries",Kochi,Lithium Carbonate,4486,Contacted
Nayak-Salvi Refineries,Coimbatore,Lithium Carbonate,1733,Leads Generated
Jayaraman LLC Refineries,Bengaluru,Manganese Sulphate,2135,Leads Generated
"Mistry, Sangha and Srivastava Refineries",Bengaluru,Cobalt Sulphate,1463,Contacted
Raj LLC Refineries,Chennai,Lithium Carbonate,2307,Discussion Stage
"Merchant, Bains and Menon Refineries",Chennai,Nickel Sulphate,4443,Contacted
Bhasin-Oommen Refineries,Kochi,Cobalt Sulphate,785,Leads Generated
Lad PLC Refineries,Bengaluru,Manganese Sulphate,4054,Contacted
Chakrabarti and Sons Refineries,Chennai,Cobalt Sulphate,1456,Leads Generated
"Desai, Vohra and Sahota Refineries",Hosur,Nickel Sulphate,3692,Leads Generated
Anne LLC Refineries,Coimbatore,Lithium Carbonate,4839,Leads Generated
Pandya-Bir Refineries,Chennai,Lithium Carbonate,3410,Leads Generated
Sachdev LLC Refineries,Chennai,Manganese Sulphate,1443,Leads Generated
Bhalla LLC Refineries,Coimbatore,Manganese Sulphate,2374,Contacted
Gade Group Refineries,Hyderabad,Cobalt Sulphate,1523,Contacted
Bhandari LLC Refineries,Bengaluru,Nickel Sulphate,2653,Sample Requested
"Bhakta, Luthra and Apte Refineries",Hosur,Manganese Sulphate,3328,Contacted
"Mital, Mitter and Lal Refineries",Kochi,Nickel Sulphate,2383,Sample Requested
Bhat Ltd Refineries,Hosur,Cobalt Sulphate,1992,Sample Requested
"Choudhary, Mitter and Balan Refineries",Kochi,Nickel Sulphate,859,Contacted
"Sheth, Parsa and Pandya Refineries",Hosur,Nickel Sulphate,4566,Leads Generated
"Murthy, Varty and Shetty Refineries",Chennai,Manganese Sulphate,4749,Discussion Stage
Kurian Group Refineries,Kochi,Manganese Sulphate,3796,Discussion Stage
"Rattan, Chopra and Krishnamurthy Refineries",Kochi,Nickel Sulphate,2591,Leads Generated
Prabhu Ltd Refineries,Bengaluru,Lithium Carbonate,1603,Sample Requested
Keer-Prasad Refineries,Visakhapatnam,Nickel Sulphate,955,LOI Received
Thakur-Kala Refineries,Bengaluru,Nickel Sulphate,3052,Leads Generated
"Ahuja, De and Dada Refineries",Visakhapatnam,Lithium Carbonate,2411,Contacted
Gole and Sons Refineries,Hyderabad,Manganese Sulphate,2540,Leads Generated
"Mane, Bhatti and Dasgupta Refineries",Visakhapatnam,Manganese Sulphate,1787,Contacted
Parekh-Seshadri Refineries,Hyderabad,Nickel Sulphate,2223,Sample Requested
"Pall, Kashyap and Bala Refineries",Bengaluru,Cobalt Sulphate,1587,Sample Requested
Munshi-Sharma Refineries,Visakhapatnam,Lithium Carbonate,3712,Leads Generated
Sule-Yogi Refineries,Visakhapatnam,Lithium Carbonate,1906,Leads Generated
"Parsa, Jayaraman and Kaur Refineries",Hyderabad,Cobalt Sulphate,4050,Sample Requested
Salvi and Sons Refineries,Bengaluru,Lithium Carbonate,1717,Leads Generated
Agate and Sons Refineries,Hyderabad,Manganese Sulphate,4749,Contacted
"Gala, Mannan and Dhaliwal Refineries",Hyderabad,Lithium Carbonate,4987,Leads Generated
Thakur Ltd Refineries,Bengaluru,Lithium Carbonate,4904,Discussion Stage
Kurian LLC Refineries,Bengaluru,Lithium Carbonate,995,Contacted
Samra Ltd Refineries,Chennai,Nickel Sulphate,1209,Contacted
Dugar-Bhardwaj Refineries,Visakhapatnam,Cobalt Sulphate,4699,Contacted
"Sachar, Tak and Oak Refineries",Chennai,Lithium Carbonate,1254,Contacted
"Sen, Gokhale and Khanna Refineries",Hosur,Nickel Sulphate,4527,Contacted
"Kanda, Om and Sekhon Refineries",Visakhapatnam,Cobalt Sulphate,4183,Contacted
"Puri, Baria and Mitra Refineries",Kochi,Nickel Sulphate,3686,Leads Generated
Goel Group Refineries,Hosur,Cobalt Sulphate,4414,Contacted
Chokshi Group Refineries,Visakhapatnam,Lithium Carbonate,3094,Leads Generated
Brar Inc Refineries,Kochi,Manganese Sulphate,3646,Leads Generated
Jain PLC Refineries,Kochi,Cobalt Sulphate,3497,Contacted
"Bahri, Sahota and Barad Refineries",Chennai,Cobalt Sulphate,1228,Discussion Stage
"Batta, Sheth and Sathe Refineries",Visakhapatnam,Cobalt Sulphate,545,Leads Generated
Chhabra and Sons Refineries,Visakhapatnam,Nickel Sulphate,4891,Contacted
Nadkarni PLC Refineries,Bengaluru,Cobalt Sulphate,4916,Contacted
Kaur PLC Refineries,Coimbatore,Manganese Sulphate,733,Leads Generated
"Kaur, Menon and Madan Refineries",Kochi,Manganese Sulphate,2925,Contacted
"Saxena, Kohli and Dubey Refineries",Hyderabad,Manganese Sulphate,881,Contacted
Vala and Sons Refineries,Kochi,Cobalt Sulphate,4981,Leads Generated
"Srinivasan, Mohan and Sami Refineries",Chennai,Manganese Sulphate,3030,Leads Generated
Aggarwal-Rama Refineries,Bengaluru,Cobalt Sulphate,4368,Discussion Stage
Srivastava LLC Refineries,Hyderabad,Cobalt Sulphate,2687,Contacted
Kurian Ltd Refineries,Bengaluru,Lithium Carbonate,2379,Discussion Stage
Balasubramanian PLC Refineries,Hyderabad,Lithium Carbonate,1897,Contacted
Mander Inc Refineries,Chennai,Nickel Sulphate,1142,Leads Generated
Tiwari and Sons Refineries,Hosur,Manganese Sulphate,2385,Leads Generated
Kade Inc Refineries,Chennai,Nickel Sulphate,4086,Discussion Stage
"Jaggi, Patel and Bali Refineries",Kochi,Lithium Carbonate,2871,Contacted
"Shetty, Narain and Lata Refineries",Bengaluru,Manganese Sulphate,4185,LOI Received
"Nazareth, Bala and Dara Refineries",Bengaluru,Cobalt Sulphate,528,Leads Generated
Koshy-Khosla Refineries,Chennai,Manganese Sulphate,1052,LOI Received
Tailor Ltd Refineries,Chennai,Lithium Carbonate,1861,Contacted
Chaudhry and Sons Refineries,Hosur,Cobalt Sulphate,2872,Sample Requested
Vala-Pathak Refineries,Chennai,Nickel Sulphate,2332,Sample Requested
"Sen, Atwal and Andra Refineries",Coimbatore,Nickel Sulphate,2794,Leads Generated
Tak-Mahal Refineries,Hosur,Manganese Sulphate,4481,Discussion Stage
Narayanan-Agarwal Refineries,Chennai,Cobalt Sulphate,3350,Sample Requested
Banerjee-Oommen Refineries,Visakhapatnam,Cobalt Sulphate,1938,Leads Generated
Gade-Sarkar Refineries,Bengaluru,Cobalt Sulphate,3283,Contacted
"Mitter, Kannan and Sankar Refineries",Coimbatore,Nickel Sulphate,3670,Leads Generated
"Dhar, Ganguly and Handa Refineries",Hyderabad,Manganese Sulphate,2588,LOI Received
Deshpande-Dugar Refineries,Hyderabad,Lithium Carbonate,4591,Contacted
Purohit-Halder Refineries,Hyderabad,Nickel Sulphate,2017,Contacted
Behl Group Refineries,Visakhapatnam,Nickel Sulphate,4205,Sample Requested
Shanker and Sons Refineries,Hosur,Nickel Sulphate,776,Leads Generated
"Khosla, Loke and Sidhu Refineries",Visakhapatnam,Cobalt Sulphate,2358,Leads Generated
Ghose Inc Refineries,Kochi,Manganese Sulphate,4485,Leads Generated
Dhar Group Refineries,Hosur,Manganese Sulphate,4895,Sample Requested
"Choudhury, Seth and Naik Refineries",Hyderabad,Nickel Sulphate,2974,Leads Generated
Raman-Soman Refineries,Chennai,Cobalt Sulphate,2952,Contacted
"Batta, Rattan and Shan Refineries",Visakhapatnam,Lithium Carbonate,4140,Leads Generated
"Suri, Kota and Dora Refineries",Coimbatore,Nickel Sulphate,1100,Discussion Stage
Mand and Sons Refineries,Hyderabad,Cobalt Sulphate,4417,Contacted
Kohli-Natt Refineries,Hyderabad,Lithium Carbonate,4382,LOI Received
Saran Ltd Refineries,Hyderabad,Nickel Sulphate,1136,Leads Generated
Merchant-Chopra Refineries,Hosur,Lithium Carbonate,2566,Contacted
"Parikh, Kumer and Grewal Refineries",Hyderabad,Cobalt Sulphate,1929,Contacted
Narang Group Refineries,Kochi,Lithium Carbonate,3753,Contacted
Yogi and Sons Refineries,Bengaluru,Lithium Carbonate,1379,LOI Received
Swaminathan-Bava Refineries,Hosur,Lithium Carbonate,1623,Discussion Stage
Konda Inc Refineries,Bengaluru,Cobalt Sulphate,734,Contacted
"Kale, Memon and Pai Refineries",Coimbatore,Lithium Carbonate,4227,Discussion Stage
"Narain, Koshy and Garde Refineries",Bengaluru,Cobalt Sulphate,2278,Contacted
"Konda, Yogi and Konda Refineries",Chennai,Lithium Carbonate,4686,Contacted
Wagle Ltd Refineries,Bengaluru,Nickel Sulphate,4696,Contacted
Bains-Khare Refineries,Bengaluru,Lithium Carbonate,1734,Leads Generated
Chakraborty PLC Refineries,Visakhapatnam,Lithium Carbonate,4247,Contacted
"Kaur, Natt and Mann Refineries",Coimbatore,Manganese Sulphate,2230,Contacted
Roy-Ganguly Refineries,Bengaluru,Cobalt Sulphate,2788,LOI Received
Nadkarni LLC Refineries,Hosur,Cobalt Sulphate,751,Sample Requested
Das LLC Refineries,Hosur,Manganese Sulphate,1439,Contacted
"Aggarwal, Seshadri and Hora Refineries",Hyderabad,Lithium Carbonate,538,Discussion Stage
"Pandit, Khosla and Deo Refineries",Hosur,Lithium Carbonate,1307,Sample Requested
"Koshy, Nadig and Jhaveri Refineries",Visakhapatnam,Manganese Sulphate,2665,Contacted
"Prabhu, Krishnan and Sachdeva Refineries",Coimbatore,Lithium Carbonate,4472,Contacted
Aurora Group Refineries,Coimbatore,Nickel Sulphate,3545,Sample Requested
Oommen-Sant Refineries,Bengaluru,Cobalt Sulphate,2967,Contacted
"Subramaniam, Upadhyay and Sur Refineries",Visakhapatnam,Nickel Sulphate,2526,Contacted
"Batra, Mall and Chander Refineries",Coimbatore,Lithium Carbonate,2830,Discussion Stage
"Wadhwa, Dash and Kannan Refineries",Chennai,Cobalt Sulphate,2227,LOI Received
Dugal-Karpe Refineries,Visakhapatnam,Cobalt Sulphate,4768,Leads Generated
Vaidya Group Refineries,Coimbatore,Nickel Sulphate,1089,LOI Received
Reddy-Rajan Refineries,Coimbatore,Lithium Carbonate,3150,Discussion Stage
Soni-Bhatti Refineries,Coimbatore,Manganese Sulphate,1733,Sample Requested
Ahluwalia PLC Refineries,Bengaluru,Nickel Sulphate,3833,Contacted
Venkataraman and Sons Refineries,Visakhapatnam,Lithium Carbonate,4710,Contacted
Date-Kumar Refineries,Kochi,Nickel Sulphate,820,Contacted
Dubey-Kothari Refineries,Kochi,Nickel Sulphate,2841,Sample Requested
Kale-Din Refineries,Coimbatore,Cobalt Sulphate,854,Leads Generated
"Bedi, Dewan and Mammen Refineries",Bengaluru,Cobalt Sulphate,3833,Contacted
Minhas-Mody Refineries,Chennai,Nickel Sulphate,3391,Leads Generated
"Kant, Maharaj and Sant Refineries",Coimbatore,Nickel Sulphate,1878,Leads Generated
Warrior LLC Refineries,Chennai,Lithium Carbonate,4336,Contacted
"Behl, Kurian and Pant Refineries",Visakhapatnam,Cobalt Sulphate,3452,Discussion Stage
"Nadig, Nayar and Oza Refineries",Hyderabad,Nickel Sulphate,4309,Leads Generated
"Brar, Sabharwal and Sant Refineries",Bengaluru,Cobalt Sulphate,1333,Leads Generated
"Comar, Seshadri and Venkataraman Refineries",Visakhapatnam,Cobalt Sulphate,4283,Leads Generated
"Bava, Khare and Bhagat Refineries",Coimbatore,Lithium Carbonate,4197,Sample Requested
Sule-Kulkarni Refineries,Hyderabad,Lithium Carbonate,3533,Contacted
Bava-Patil Refineries,Visakhapatnam,Lithium Carbonate,1663,Contacted
"Naidu, Vasa and Chopra Refineries",Hyderabad,Manganese Sulphate,989,Leads Generated
Minhas-Chaudry Refineries,Hyderabad,Cobalt Sulphate,2089,Discussion Stage
Sankaran Ltd Refineries,Coimbatore,Manganese Sulphate,4335,Discussion Stage
"Lanka, Mall and Oza Refineries",Coimbatore,Lithium Carbonate,3525,Leads Generated
Thaman PLC Refineries,Hyderabad,Cobalt Sulphate,4299,Leads Generated
"Kari, Dugal and Sandhu Refineries",Hyderabad,Manganese Sulphate,2523,Sample Requested
