Company_Name,City,Battery_Type,Est_Monthly_Kg,Status
Barman Ltd E-Waste Solutions,Kochi,E-Bike,451,Leads Generated
Kota-Malhotra E-Waste Solutions,Hosur,EV Battery Packs,430,Leads Generated
"Ranganathan, Pillai and Vora E-Waste Solutions",Hyderabad,Laptop,883,Leads Generated
Dhar-Bhakta E-Waste Solutions,Hyderabad,Laptop,1318,Leads Generated
Garg-Sridhar E-Waste Solutions,Kochi,E-Scooter,1077,Contacted
"Bali, Sehgal and Lanka E-Waste Solutions",Kochi,Laptop,542,Contacted
Saini Group E-Waste Solutions,Kochi,Laptop,807,Qualified
"Kothari, Bora and Das E-Waste Solutions",Bengaluru,EV Battery Packs,739,Leads Generated
Khanna-Kaur E-Waste Solutions,Hyderabad,E-Bike,194,Leads Generated
"Patla, Dar and Gola E-Waste Solutions",Kochi,E-Scooter,181,LOI Received
Mandal LLC E-Waste Solutions,Hosur,EV Battery Packs,103,Qualified
Sawhney-Dugal E-Waste Solutions,Kochi,Mobile Phone,1078,Contacted
Prabhu Inc E-Waste Solutions,Chennai,E-Scooter,970,Leads Generated
Karpe-Om E-Waste Solutions,Hosur,E-Bike,538,Leads Generated
Koshy and Sons E-Waste Solutions,Hosur,Laptop,490,Qualified
Singhal-Bhat E-Waste Solutions,Bengaluru,E-Bike,1107,Leads Generated
"Bobal, Sandal and Nair E-Waste Solutions",Chennai,Mobile Phone,875,Leads Generated
"Mall, Chhabra and Rao E-Waste Solutions",Chennai,E-Bike,852,Contacted
Dyal-Gandhi E-Waste Solutions,Hyderabad,Mobile Phone,264,Qualified
Raj-Rama E-Waste Solutions,Visakhapatnam,Laptop,1398,Leads Generated
Misra Ltd E-Waste Solutions,Kochi,Laptop,696,Qualified
Sami LLC E-Waste Solutions,Chennai,Laptop,802,Contacted
Chawla-Bali E-Waste Solutions,Hyderabad,Mobile Phone,1256,Leads Generated
"Pandya, Kothari and Tata E-Waste Solutions",Visakhapatnam,E-Scooter,977,Leads Generated
Rastogi Inc E-Waste Solutions,Kochi,Laptop,122,Leads Generated
Deep-Mital E-Waste Solutions,Chennai,E-Scooter,359,Contacted
"Uppal, Bahri and Trivedi E-Waste Solutions",Coimbatore,E-Bike,343,Leads Generated
Balan-Sood E-Waste Solutions,Bengaluru,E-Bike,345,Qualified
Andra-Bhagat E-Waste Solutions,Visakhapatnam,EV Battery Packs,1432,Leads Generated
"Aggarwal, Vig and Dhar E-Waste Solutions",Bengaluru,E-Bike,1354,Qualified
"Barad, Varkey and Jain E-Waste Solutions",Coimbatore,E-Bike,916,Contacted
"Zachariah, Lalla and Kadakia E-Waste Solutions",Hosur,EV Battery Packs,230,Interested
Karan-Koshy E-Waste Solutions,Coimbatore,E-Scooter,493,Leads Generated
"Deol, Aggarwal and Chander E-Waste Solutions",Coimbatore,E-Bike,249,Contacted
Sachdeva Ltd E-Waste Solutions,Coimbatore,E-Bike,1461,LOI Received
Mallick-Tripathi E-Waste Solutions,Chennai,Mobile Phone,1426,LOI Received
Divan Ltd E-Waste Solutions,Coimbatore,Laptop,1259,Interested
Gaba-Mistry E-Waste Solutions,Chennai,E-Bike,790,Qualified
Verma-Bhattacharyya E-Waste Solutions,Hosur,Laptop,778,Leads Generated
Naidu Ltd E-Waste Solutions,Coimbatore,Laptop,732,Contacted
Sastry Ltd E-Waste Solutions,Coimbatore,E-Bike,794,Leads Generated
Narula-Mukhopadhyay E-Waste Solutions,Visakhapatnam,E-Bike,627,Leads Generated
"Yohannan, Bhasin and Sinha E-Waste Solutions",Visakhapatnam,E-Scooter,374,LOI Received
"Memon, Mannan and Barman E-Waste Solutions",Kochi,E-Scooter,1011,Contacted
Dube and Sons E-Waste Solutions,Kochi,E-Bike,1369,Interested
"Srivastava, Singhal and Dhaliwal E-Waste Solutions",Hosur,E-Bike,695,Leads Generated
Parekh LLC E-Waste Solutions,Chennai,Laptop,397,Interested
"Vaidya, Tailor and Bansal E-Waste Solutions",Kochi,E-Scooter,580,Qualified
Sarma Ltd E-Waste Solutions,Coimbatore,E-Bike,489,Contacted
"Venkataraman, Hora and Varma E-Waste Solutions",Kochi,Laptop,1286,Leads Generated
Soman and Sons E-Waste Solutions,Bengaluru,E-Scooter,1403,LOI Received
"Venkataraman, Bansal and Pillai E-Waste Solutions",Bengaluru,E-Bike,214,Leads Generated
Lad Group E-Waste Solutions,Coimbatore,EV Battery Packs,1121,Contacted
Tella-Rajagopal E-Waste Solutions,Bengaluru,E-Scooter,1062,Qualified
Yohannan-Chandra E-Waste Solutions,Hyderabad,E-Scooter,1278,Leads Generated
"Sibal, Rao and Randhawa E-Waste Solutions",Coimbatore,E-Bike,519,Leads Generated
Ray Group E-Waste Solutions,Bengaluru,EV Battery Packs,976,Leads Generated
Atwal-Jayaraman E-Waste Solutions,Visakhapatnam,EV Battery Packs,908,Contacted
Luthra Ltd E-Waste Solutions,Chennai,Laptop,1118,Leads Generated
"Chakraborty, Barad and Kari E-Waste Solutions",Chennai,Mobile Phone,333,Interested
Nigam Inc E-Waste Solutions,Hyderabad,Laptop,438,Contacted
Bawa-Raman E-Waste Solutions,Visakhapatnam,E-Bike,1415,LOI Received
Vyas-Soman E-Waste Solutions,Visakhapatnam,Mobile Phone,816,Contacted
"Bawa, Sen and Prashad E-Waste Solutions",Chennai,Mobile Phone,1298,Leads Generated
"Banerjee, Varghese and Ratti E-Waste Solutions",Hyderabad,EV Battery Packs,847,Qualified
Bal-Tella E-Waste Solutions,Hosur,Mobile Phone,177,Interested
"Barad, Upadhyay and Tripathi E-Waste Solutions",Bengaluru,Laptop,1323,Leads Generated
Mittal-Chahal E-Waste Solutions,Visakhapatnam,E-Scooter,337,Qualified
Choudhary Group E-Waste Solutions,Kochi,EV Battery Packs,141,Leads Generated
Kothari-Setty E-Waste Solutions,Visakhapatnam,Mobile Phone,636,Leads Generated
Bumb-Cheema E-Waste Solutions,Chennai,Laptop,1148,Leads Generated
Wali-Doshi E-Waste Solutions,Hosur,Mobile Phone,1444,Interested
Comar PLC E-Waste Solutions,Coimbatore,EV Battery Packs,1243,Contacted
Raman PLC E-Waste Solutions,Kochi,EV Battery Packs,343,Leads Generated
Raja-Shukla E-Waste Solutions,Bengaluru,Laptop,1001,Contacted
Nagar Inc E-Waste Solutions,Coimbatore,Mobile Phone,1480,Interested
"Lad, Kata and Golla E-Waste Solutions",Hosur,EV Battery Packs,972,Interested
Modi-Konda E-Waste Solutions,Hosur,Laptop,309,Leads Generated
Suresh-Saxena E-Waste Solutions,Coimbatore,E-Bike,1378,Leads Generated
Tripathi-Issac E-Waste Solutions,Bengaluru,E-Scooter,382,Contacted
"Gaba, Ramachandran and Bedi E-Waste Solutions",Visakhapatnam,EV Battery Packs,153,Interested
Patla-Bassi E-Waste Solutions,Coimbatore,E-Scooter,1438,Leads Generated
Talwar LLC E-Waste Solutions,Bengaluru,E-Scooter,666,Leads Generated
Bajaj-Cheema E-Waste Solutions,Kochi,Laptop,160,Leads Generated
"Mand, Walla and Ravel E-Waste Solutions",Hyderabad,Laptop,717,Leads Generated
Sule-Saha E-Waste Solutions,Kochi,EV Battery Packs,740,Leads Generated
"Chanda, Patel and Saha E-Waste Solutions",Hosur,Mobile Phone,782,Leads Generated
Dugal-Kamdar E-Waste Solutions,Coimbatore,Mobile Phone,595,Contacted
"Zacharia, Badal and Chana E-Waste Solutions",Hosur,Mobile Phone,950,Contacted
Keer-Tak E-Waste Solutions,Visakhapatnam,Mobile Phone,289,Contacted
Dayal-Nair E-Waste Solutions,Visakhapatnam,E-Scooter,933,Leads Generated
Master Group E-Waste Solutions,Hosur,EV Battery Packs,1241,Leads Generated
"Nagarajan, Grewal and Jain E-Waste Solutions",Kochi,E-Scooter,759,Leads Generated
Uppal-Thaman E-Waste Solutions,Hosur,Laptop,1150,Interested
Zachariah-Bhatt E-Waste Solutions,Hosur,E-Bike,1221,Leads Generated
Ramachandran Inc E-Waste Solutions,Coimbatore,E-Scooter,1195,Interested
Deep-Mital E-Waste Solutions,Hyderabad,E-Scooter,120,Interested
Bala Ltd E-Waste Solutions,Chennai,EV Battery Packs,322,Contacted
"Muni, Prakash and Jha E-Waste Solutions",Hosur,Mobile Phone,509,Contacted
Dara-Kurian E-Waste Solutions,Hyderabad,Mobile Phone,586,Leads Generated
Bhatt-Zachariah E-Waste Solutions,Hosur,EV Battery Packs,1484,Contacted
Rao Inc E-Waste Solutions,Visakhapatnam,E-Bike,1074,Leads Generated
"Karan, Issac and Nigam E-Waste Solutions",Coimbatore,Laptop,692,Contacted
Nori Group E-Waste Solutions,Visakhapatnam,Laptop,633,Contacted
"De, Raj and Soman E-Waste Solutions",Bengaluru,Mobile Phone,250,Qualified
"Randhawa, Biswas and Pau E-Waste Solutions",Bengaluru,Mobile Phone,1376,Leads Generated
Dara Ltd E-Waste Solutions,Hosur,EV Battery Packs,1356,LOI Received
"Ratta, Biswas and Modi E-Waste Solutions",Coimbatore,E-Bike,717,Contacted
"Deol, Chawla and Magar E-Waste Solutions",Visakhapatnam,E-Scooter,108,Contacted
Sem LLC E-Waste Solutions,Visakhapatnam,Laptop,941,Leads Generated
"Sachar, Golla and Dhar E-Waste Solutions",Hosur,Mobile Phone,232,Qualified
"Cherian, Narain and Loke E-Waste Solutions",Chennai,Mobile Phone,1493,Leads Generated
Kulkarni-Rajagopal E-Waste Solutions,Bengaluru,EV Battery Packs,247,Leads Generated
Shetty-Muni E-Waste Solutions,Kochi,Laptop,1068,Contacted
"Loke, Tata and Dhar E-Waste Solutions",Bengaluru,Mobile Phone,1238,Contacted
"Sarraf, Lala and Wason E-Waste Solutions",Hosur,EV Battery Packs,1481,Leads Generated
Nair-Bal E-Waste Solutions,Kochi,Mobile Phone,199,Contacted
Muni-Mahal E-Waste Solutions,Hyderabad,E-Scooter,584,Qualified
"Rastogi, Muni and Nath E-Waste Solutions",Bengaluru,E-Bike,415,Leads Generated
Gaba-Sane E-Waste Solutions,Chennai,EV Battery Packs,1436,Leads Generated
Majumdar-Chakrabarti E-Waste Solutions,Chennai,E-Scooter,1148,Contacted
Anand-Arora E-Waste Solutions,Hyderabad,Mobile Phone,515,Leads Generated
"Jani, Pall and Choudhry E-Waste Solutions",Bengaluru,EV Battery Packs,354,Contacted
"Purohit, Mody and Pandey E-Waste Solutions",Bengaluru,E-Scooter,167,Contacted
Bali-Dara E-Waste Solutions,Visakhapatnam,EV Battery Packs,202,Leads Generated
Roy-Deo E-Waste Solutions,Hosur,Mobile Phone,520,Leads Generated
Uppal-Sidhu E-Waste Solutions,Hyderabad,E-Scooter,118,Contacted
"Shroff, Bal and Pillay E-Waste Solutions",Chennai,E-Scooter,1118,Leads Generated
Choudhary LLC E-Waste Solutions,Hosur,Mobile Phone,1132,Leads Generated
D’Alia Ltd E-Waste Solutions,Visakhapatnam,Mobile Phone,1396,LOI Received
"Sant, Sarma and Vyas E-Waste Solutions",Hyderabad,Mobile Phone,188,Contacted
"Sen, Murthy and Din E-Waste Solutions",Chennai,Laptop,293,Leads Generated
Saini-Pal E-Waste Solutions,Chennai,Laptop,205,Contacted
Viswanathan-Gulati E-Waste Solutions,Kochi,Laptop,192,Interested
Naik and Sons E-Waste Solutions,Hyderabad,E-Bike,1082,Leads Generated
Vasa-Krish E-Waste Solutions,Visakhapatnam,EV Battery Packs,1279,Leads Generated
